target, percent_valid
1, 0.9434343434343434
2, 0.9919191919191919
3, 0.9494949494949495
4, 0.9292929292929293
5, 0.9212121212121213
6, 0.9434343434343434
7, 0.9212121212121213
8, 0.9111111111111111
9, 0.907070707070707
10, 0.8949494949494949
11, 0.8242424242424242
12, 0.8929292929292929
13, 0.7595959595959596
14, 0.8161616161616162
15, 0.8202020202020202
16, 0.8424242424242424
17, 0.6828282828282828
18, 0.806060606060606
19, 0.6484848484848484
20, 0.7595959595959596
21, 0.701010101010101
22, 0.6
23, 0.5676767676767677
24, 0.802020202020202
25, 0.5757575757575758
26, 0.5717171717171717
27, 0.6424242424242425
28, 0.6808080808080809
29, 0.4868686868686869
30, 0.6707070707070707
31, 0.4484848484848485
32, 0.6343434343434343
33, 0.498989898989899
34, 0.45252525252525255
35, 0.5777777777777777
36, 0.7434343434343434
37, 0.38181818181818183
38, 0.3797979797979798
39, 0.42828282828282827
40, 0.6323232323232323
41, 0.3696969696969697
42, 0.5656565656565656
43, 0.32727272727272727
44, 0.44646464646464645
45, 0.5414141414141415
46, 0.3434343434343434
47, 0.32727272727272727
48, 0.6767676767676768
49, 0.4222222222222222
50, 0.41818181818181815
51, 0.3515151515151515
52, 0.3474747474747475
53, 0.2868686868686869
54, 0.5353535353535354
55, 0.3656565656565657
56, 0.5494949494949495
57, 0.30505050505050507
58, 0.2787878787878788
59, 0.22828282828282828
60, 0.5434343434343434
61, 0.2222222222222222
62, 0.25252525252525254
63, 0.4686868686868687
64, 0.44646464646464645
65, 0.2808080808080808
66, 0.3434343434343434
67, 0.18585858585858586
68, 0.22626262626262628
69, 0.23434343434343435
70, 0.4121212121212121
71, 0.19595959595959597
72, 0.591919191919192
73, 0.18585858585858586
74, 0.18181818181818182
75, 0.2727272727272727
76, 0.21616161616161617
77, 0.24848484848484848
78, 0.2808080808080808
79, 0.15555555555555556
80, 0.41818181818181815
81, 0.28888888888888886
82, 0.15555555555555556
83, 0.1191919191919192
84, 0.402020202020202
85, 0.15757575757575756
86, 0.11515151515151516
87, 0.15353535353535352
88, 0.26262626262626265
89, 0.1191919191919192
90, 0.41414141414141414
91, 0.17777777777777778
92, 0.1414141414141414
93, 0.13131313131313133
94, 0.08686868686868687
95, 0.11717171717171718
96, 0.39595959595959596
97, 0.08484848484848485
98, 0.1919191919191919
99, 0.21616161616161617
